srcip,dstip,ts,td
607267978.0,719035236.0,1458298369516000.0,0.484
607267978.0,719035236.0,1458298371952000.0,2.048
607267978.0,719035236.0,1458298374956000.0,0.044
607267978.0,719035236.0,1458298374960000.0,0.04
607267978.0,719035236.0,1458298374960000.0,0.04
607267978.0,719035236.0,1458298374964000.0,0.036
607267978.0,719035236.0,1458298374964000.0,0.036
607267978.0,719035236.0,1458298374964000.0,0.036
607267978.0,719035236.0,1458298374968000.0,0.032
607267978.0,719035236.0,1458298374968000.0,0.032
607267978.0,719035236.0,1458298374968000.0,0.032
607267978.0,719035236.0,1458298374968000.0,0.032
607267978.0,719035236.0,1458298374968000.0,0.032
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374972000.0,0.0279999999999999
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374976000.0,0.024
607267978.0,719035236.0,1458298374980000.0,0.02
607267978.0,719035236.0,1458298375880000.0,3.12
607267978.0,719035236.0,1458298375900000.0,2.1
607267978.0,719035236.0,1458298375956000.0,1.044
607267978.0,719035236.0,1458298375956000.0,1.044
607267978.0,719035236.0,1458298375960000.0,3.04
607267978.0,719035236.0,1458298375968000.0,0.032
607267978.0,719035236.0,1458298375968000.0,0.032
607267978.0,719035236.0,1458298375972000.0,0.0279999999999999
607267978.0,719035236.0,1458298376296000.0,0.7040000000000001
607267978.0,719035236.0,1458298381348000.0,0.652
607267978.0,719035236.0,1458298381664000.0,0.336
607267978.0,719035236.0,1458298381964000.0,0.036
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381968000.0,0.032
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381972000.0,0.0279999999999999
607267978.0,719035236.0,1458298381976000.0,0.024
607267978.0,719035236.0,1458298381976000.0,0.024
607267978.0,719035236.0,1458298382508000.0,0.4920000000000001
607267978.0,719035236.0,1458298382556000.0,0.444
607267978.0,719035236.0,1458298382568000.0,1.432
607267978.0,719035236.0,1458298382664000.0,0.336
607267978.0,719035236.0,1458298382964000.0,0.036
607267978.0,719035236.0,1458298382968000.0,0.032
607267978.0,719035236.0,1458298382972000.0,0.0279999999999999
607267978.0,719035236.0,1458298383972000.0,0.0279999999999999
607267978.0,719035236.0,1458298429400000.0,0.6
607267978.0,719035236.0,1458298549440000.0,0.56
607267978.0,719035236.0,1458298669432000.0,0.568
607267978.0,719035236.0,1458298698900000.0,0.1
607267978.0,719035236.0,1458298747280000.0,0.72
607267978.0,719035236.0,1458298747964000.0,0.036
607267978.0,719035236.0,1458298747964000.0,0.036
607267978.0,719035236.0,1458298747968000.0,0.032
607267978.0,719035236.0,1458298747968000.0,0.032
607267978.0,719035236.0,1458298747968000.0,0.032
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747972000.0,0.0279999999999999
607267978.0,719035236.0,1458298747976000.0,0.024
607267978.0,719035236.0,1458298747976000.0,0.024
607267978.0,719035236.0,1458298747980000.0,0.02
607267978.0,719035236.0,1458298748396000.0,1.604
607267978.0,719035236.0,1458298748444000.0,1.556
607267978.0,719035236.0,1458298748516000.0,0.484
607267978.0,719035236.0,1458298748672000.0,0.3279999999999999
607267978.0,719035236.0,1458298748680000.0,0.32
607267978.0,719035236.0,1458298748956000.0,0.044
607267978.0,719035236.0,1458298748956000.0,0.044
607267978.0,719035236.0,1458298748972000.0,0.0279999999999999
607267978.0,719035236.0,1458298748972000.0,0.0279999999999999
607267978.0,719035236.0,1458298748976000.0,0.024
607267978.0,719035236.0,1458298750972000.0,0.0279999999999999
607267978.0,719035236.0,1458298773484000.0,0.516
607267978.0,719035236.0,1458298798268000.0,0.732
607267978.0,719035236.0,1458298798960000.0,1.04
607267978.0,719035236.0,1458298801424000.0,0.5760000000000001
607267978.0,719035236.0,1458298802368000.0,0.632
607267978.0,719035236.0,1458298802492000.0,0.508
607267978.0,719035236.0,1458298802668000.0,0.332
607267978.0,719035236.0,1458298802940000.0,0.06
607267978.0,719035236.0,1458298802948000.0,0.052
607267978.0,719035236.0,1458298802960000.0,0.04
607267978.0,719035236.0,1458298802960000.0,0.04
607267978.0,719035236.0,1458298802960000.0,0.04
607267978.0,719035236.0,1458298802960000.0,0.04
607267978.0,719035236.0,1458298802964000.0,0.036
607267978.0,719035236.0,1458298802964000.0,0.036
607267978.0,719035236.0,1458298802964000.0,0.036
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802968000.0,0.032
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802972000.0,0.0279999999999999
607267978.0,719035236.0,1458298802976000.0,0.024
607267978.0,719035236.0,1458298802976000.0,0.024
607267978.0,719035236.0,1458298803388000.0,1.612
607267978.0,719035236.0,1458298803428000.0,1.5719999999999998
607267978.0,719035236.0,1458298804964000.0,0.036
607267978.0,719035236.0,1458298826224000.0,0.7759999999999999
607267978.0,719035236.0,1458298826396000.0,0.604
607267978.0,719035236.0,1458298827736000.0,0.264
607267978.0,719035236.0,1458298827748000.0,0.252
607267978.0,719035236.0,1458298827780000.0,0.22
607267978.0,719035236.0,1458298827816000.0,0.184
607267978.0,719035236.0,1458298827852000.0,0.148
607267978.0,719035236.0,1458298827964000.0,0.036
607267978.0,719035236.0,1458298831908000.0,1.092
607267978.0,719035236.0,1458298879168000.0,0.8320000000000001
607267978.0,719035236.0,1458298881412000.0,0.588
607267978.0,719035236.0,1458298894456000.0,0.544
607267978.0,719035236.0,1458298955304000.0,0.696
607267978.0,719035236.0,1458299015408000.0,0.5920000000000001
607267978.0,719035236.0,1458299041180000.0,0.82
607267978.0,719035236.0,1458299043332000.0,0.6679999999999999
607267978.0,719035236.0,1458299077088000.0,0.912
607267978.0,719035236.0,1458299103392000.0,0.608
607267978.0,719035236.0,1458299163392000.0,0.608
607267978.0,719035236.0,1458299188304000.0,0.696
607267978.0,719035236.0,1458299189168000.0,1.832
607267978.0,719035236.0,1458299189368000.0,1.632
607267978.0,719035236.0,1458299189512000.0,0.488
607267978.0,719035236.0,1458299197364000.0,0.636
607267978.0,719035236.0,1458299200284000.0,0.716
607267978.0,719035236.0,1458299200904000.0,2.096
607267978.0,719035236.0,1458299201364000.0,1.636
607267978.0,719035236.0,1458299201484000.0,0.516
607267978.0,719035236.0,1458299209296000.0,0.7040000000000001
607267978.0,719035236.0,1458299210448000.0,0.552
607267978.0,719035236.0,1458299210516000.0,0.484
607267978.0,719035236.0,1458299210556000.0,1.444
607267978.0,719035236.0,1458299217332000.0,0.6679999999999999
607267978.0,719035236.0,1458299218424000.0,0.5760000000000001
607267978.0,719035236.0,1458299218492000.0,1.508
607267978.0,719035236.0,1458299218540000.0,0.46
607267978.0,719035236.0,1458299224440000.0,0.56
607267978.0,719035236.0,1458299233172000.0,0.828
607267978.0,719035236.0,1458299234384000.0,1.616
607267978.0,719035236.0,1458299234484000.0,1.516
607267978.0,719035236.0,1458299234500000.0,0.5
607267978.0,719035236.0,1458299276348000.0,0.652
607267978.0,719035236.0,1458299279216000.0,0.784
607267978.0,719035236.0,1458299279972000.0,0.0279999999999999
607267978.0,719035236.0,1458299285448000.0,0.552
607267978.0,719035236.0,1458299318392000.0,0.608
607267978.0,719035236.0,1458299345504000.0,0.496
607267978.0,719035236.0,1458299365380000.0,0.62
607267978.0,719035236.0,1458299367288000.0,0.7120000000000001
607267978.0,719035236.0,1458299367940000.0,0.06
607267978.0,719035236.0,1458299367956000.0,0.044
607267978.0,719035236.0,1458299367968000.0,0.032
607267978.0,719035236.0,1458299367968000.0,0.032
607267978.0,719035236.0,1458299367968000.0,0.032
607267978.0,719035236.0,1458299368660000.0,0.34
607267978.0,719035236.0,1458299368948000.0,0.052
607267978.0,719035236.0,1458299368948000.0,0.052
607267978.0,719035236.0,1458299368952000.0,0.048
607267978.0,719035236.0,1458299368956000.0,0.044
607267978.0,719035236.0,1458299368960000.0,0.04
607267978.0,719035236.0,1458299368960000.0,0.04
607267978.0,719035236.0,1458299368960000.0,0.04
607267978.0,719035236.0,1458299368960000.0,0.04
607267978.0,719035236.0,1458299368964000.0,0.036
607267978.0,719035236.0,1458299368964000.0,0.036
607267978.0,719035236.0,1458299368964000.0,0.036
607267978.0,719035236.0,1458299368964000.0,0.036
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368968000.0,0.032
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368972000.0,0.0279999999999999
607267978.0,719035236.0,1458299368976000.0,0.024
607267978.0,719035236.0,1458299368976000.0,0.024
607267978.0,719035236.0,1458299368976000.0,0.024
607267978.0,719035236.0,1458299368980000.0,0.02
607267978.0,719035236.0,1458299369976000.0,0.024
607267978.0,719035236.0,1458299403660000.0,0.34
607267978.0,719035236.0,1458299403948000.0,0.052
607267978.0,719035236.0,1458299405332000.0,0.6679999999999999
607267978.0,719035236.0,1458299406372000.0,0.628
607267978.0,719035236.0,1458299411264000.0,0.736
607267978.0,719035236.0,1458299411972000.0,0.0279999999999999
